time_bin,detectorID,density_attack,density_base,LOS_attack,LOS_base,distance
600.0,E0_4500m,35.2123592,37.497622,E,E,4500
600.0,E0_4600m,35.4376668,37.4815286,E,E,4600
600.0,E0_4700m,35.6307876,37.5298088,E,E,4700
600.0,E0_4800m,35.7434414,37.4654352,E,E,4800
600.0,E0_4900m,35.8721886,37.4493418,E,E,4900
900.0,E0_0m,34.327222199999994,34.1019146,D,D,0
900.0,E0_100m,34.761744,34.6490902,D,D,100
900.0,E0_200m,34.7134638,34.681277,D,D,200
900.0,E0_300m,34.874397800000004,34.922678,D,D,300
900.0,E0_400m,35.0192384,35.0675186,E,E,400
900.0,E0_500m,35.244546,35.2606394,E,E,500
900.0,E0_600m,35.389386599999995,35.389386599999995,E,E,600
900.0,E0_700m,35.485947,35.5986008,E,E,700
900.0,E0_800m,35.679067800000006,35.7595348,E,E,800
900.0,E0_900m,35.8239084,35.888282000000004,E,E,900
900.0,E0_1000m,36.0653094,36.129683,E,E,1000
900.0,E0_1100m,36.0974962,36.2584302,E,E,1100
900.0,E0_1200m,36.2423368,36.4032708,E,E,1200
900.0,E0_1300m,36.3067104,36.515924600000005,E,E,1300
900.0,E0_1400m,36.532018,36.676858599999996,E,E,1400
900.0,E0_1500m,36.612485,36.7573256,E,E,1500
900.0,E0_1600m,36.7090454,36.8699794,E,E,1600
900.0,E0_1700m,36.7895124,36.950446400000004,E,E,1700
900.0,E0_1800m,36.8699794,36.9987266,E,E,1800
900.0,E0_1900m,36.902166199999996,37.01482,E,E,1900
900.0,E0_2000m,36.9987266,37.111380399999994,E,E,2000
900.0,E0_2100m,36.9826332,37.1435672,E,E,2100
900.0,E0_2200m,37.0631002,37.2079408,E,E,2200
900.0,E0_2300m,37.1435672,37.256221,E,E,2300
900.0,E0_2400m,37.256221,37.3205946,E,E,2400
900.0,E0_2500m,37.5298088,37.3849682,E,E,2500
900.0,E0_2600m,37.8033966,37.4010616,E,E,2600
900.0,E0_2700m,38.2861986,37.417155,E,E,2700
900.0,E0_2800m,39.1713356,37.433248400000004,E,E,2800
900.0,E0_2900m,40.5875548,37.4493418,E,E,2900
900.0,E0_3000m,41.8750268,37.5459022,E,E,3000
900.0,E0_3100m,41.7140928,37.6746494,E,E,3100
900.0,E0_3200m,41.6175324,37.6907428,E,E,3200
900.0,E0_3300m,41.6979994,37.6746494,E,E,3300
900.0,E0_3400m,41.794559799999995,37.7712098,E,E,3400
900.0,E0_3500m,41.858933400000005,37.8677702,E,E,3500
900.0,E0_3600m,41.971587199999995,37.980424,E,E,3600
900.0,E0_3700m,42.164708,38.1091712,E,E,3700
900.0,E0_3800m,42.245175,38.2057316,E,E,3800
900.0,E0_3900m,41.3761314,38.3344788,E,E,3900
900.0,E0_4000m,37.7229296,38.543693,E,E,4000
900.0,E0_4100m,36.4998312,38.575879799999996,E,E,4100
900.0,E0_4200m,36.532018,38.543693,E,E,4200
900.0,E0_4300m,36.5802982,38.5115062,E,E,4300
900.0,E0_4400m,36.692952,38.463226,E,E,4400
900.0,E0_4500m,36.773419000000004,38.398852399999996,E,E,4500
900.0,E0_4600m,36.8699794,38.2861986,E,E,4600
900.0,E0_4700m,36.9182596,38.221825,E,E,4700
900.0,E0_4800m,36.853885999999996,38.141358,E,E,4800
900.0,E0_4900m,36.8860728,38.060891,E,E,4900
1200.0,E0_0m,34.439876,34.0536344,D,D,0
1200.0,E0_100m,34.6651836,34.5686232,D,D,100
1200.0,E0_200m,34.552529799999995,34.5042496,D,D,200
1200.0,E0_300m,34.552529799999995,34.5364364,D,D,300
1200.0,E0_400m,34.6651836,34.681277,D,D,400
1200.0,E0_500m,34.7456506,34.8100242,D,D,500
1200.0,E0_600m,34.8904912,34.8904912,D,D,600
1200.0,E0_700m,34.987051599999994,35.051425200000004,D,E,700
1200.0,E0_800m,35.0353318,35.131892199999996,E,E,800
1200.0,E0_900m,35.1157988,35.1801724,E,E,900
1200.0,E0_1000m,35.2123592,35.276732800000005,E,E,1000
1200.0,E0_1100m,35.3089196,35.3732932,E,E,1100
1200.0,E0_1200m,35.40548,35.453760200000005,E,E,1200
1200.0,E0_1300m,35.5503206,35.566414,E,E,1300
1200.0,E0_1400m,35.614694199999995,35.646881,E,E,1400
1200.0,E0_1500m,35.7434414,35.7756282,E,E,1500
1200.0,E0_1600m,35.791721599999995,35.9526556,E,E,1600
1200.0,E0_1700m,35.9526556,36.1457764,E,E,1700
1200.0,E0_1800m,36.0653094,36.194056599999996,E,E,1800
1200.0,E0_1900m,36.129683,36.3388972,E,E,1900
1200.0,E0_2000m,36.21015,36.3388972,E,E,2000
1200.0,E0_2100m,36.3388972,36.4193642,E,E,2100
