scenario,interval_begin,link,pos,interval_flow,interval_harmonicMeanSpeed,interval_id_combined
attack,1200.0,E0,3700,3966.4,22.15633333333333,E0_3700m
attack,1200.0,E0,3800,3968.3999999999996,22.16433333333333,E0_3800m
attack,1200.0,E0,3900,3967.6,22.198666666666668,E0_3900m
attack,1200.0,E0,4000,3966.0,23.092666666666666,E0_4000m
attack,1200.0,E0,4100,3960.0,25.788500000000003,E0_4100m
attack,1200.0,E0,4200,3957.6,25.99733333333333,E0_4200m
attack,1200.0,E0,4300,3956.7999999999997,25.942499999999995,E0_4300m
attack,1200.0,E0,4400,3956.4,25.859499999999997,E0_4400m
attack,1200.0,E0,4500,3957.2,25.76683333333333,E0_4500m
attack,1200.0,E0,4600,3956.3999999999996,25.668999999999997,E0_4600m
attack,1200.0,E0,4700,3957.6,25.596999999999994,E0_4700m
attack,1200.0,E0,4800,3956.7999999999997,25.5615,E0_4800m
attack,1200.0,E0,4900,3962.7999999999997,25.548666666666662,E0_4900m
attack,1200.0,E0,5000,3960.4,25.544333333333334,E0_5000m
attack,1500.0,E0,0,0.0,-1.0,E0_0m
attack,1500.0,E0,100,3988.3999999999996,26.7205,E0_100m
attack,1500.0,E0,200,3980.7999999999997,26.920166666666667,E0_200m
attack,1500.0,E0,300,3981.2,26.875499999999995,E0_300m
attack,1500.0,E0,400,3979.2,26.773500000000006,E0_400m
attack,1500.0,E0,500,3980.8,26.64033333333333,E0_500m
attack,1500.0,E0,600,3982.3999999999996,26.5045,E0_600m
attack,1500.0,E0,700,3983.2,26.394999999999996,E0_700m
attack,1500.0,E0,800,3986.0,26.282,E0_800m
attack,1500.0,E0,900,3996.8,26.165666666666667,E0_900m
attack,1500.0,E0,1000,3995.6,26.071,E0_1000m
attack,1500.0,E0,1100,3994.4,25.97083333333333,E0_1100m
attack,1500.0,E0,1200,4000.8,25.849500000000003,E0_1200m
attack,1500.0,E0,1300,4004.8,25.749333333333333,E0_1300m
attack,1500.0,E0,1400,4007.6,25.66433333333334,E0_1400m
