interval_begin,interval_id_combined,link,pos,SPR,FR,interval_harmonicMeanSpeed_attack,interval_harmonicMeanSpeed_base,interval_flow_attack,interval_flow_base
600.0,E0_1100m,E0,1100,1.0,1.0,25.95,26.03,4040.8,4040.8
600.0,E0_1200m,E0,1200,1.0,1.0,25.84,25.94,4036.0,4034.4
600.0,E0_1300m,E0,1300,1.0,1.0,25.76,25.86,4037.6,4035.6
600.0,E0_1400m,E0,1400,1.0,1.0,25.67,25.76,4047.2,4045.2
600.0,E0_1500m,E0,1500,1.0,1.0,25.61,25.68,4042.4,4042.0
600.0,E0_1600m,E0,1600,1.0,1.0,25.54,25.61,4036.0,4036.0
600.0,E0_1700m,E0,1700,1.0,1.0,25.47,25.54,4030.0,4030.8
600.0,E0_1800m,E0,1800,1.0,1.0,25.41,25.46,4027.6,4030.0
600.0,E0_1900m,E0,1900,1.0,1.0,25.35,25.39,4034.4,4037.6
600.0,E0_2000m,E0,2000,1.0,1.0,25.31,25.35,4041.6,4046.0
600.0,E0_2100m,E0,2100,1.0,1.0,25.27,25.31,4049.2,4050.4
600.0,E0_2200m,E0,2200,1.0,1.0,25.22,25.27,4045.6,4043.6
600.0,E0_2300m,E0,2300,1.0,1.0,25.16,25.23,4038.8,4038.8
600.0,E0_2400m,E0,2400,0.99,1.0,25.08,25.22,4033.2,4038.0
600.0,E0_2500m,E0,2500,0.99,1.0,24.96,25.19,4018.8,4025.2
600.0,E0_2600m,E0,2600,0.99,1.0,24.78,25.16,4014.4,4022.4
600.0,E0_2700m,E0,2700,0.98,1.0,24.53,25.14,4014.4,4023.2
600.0,E0_2800m,E0,2800,0.96,1.0,24.13,25.14,4006.4,4019.6
600.0,E0_2900m,E0,2900,0.93,1.0,23.48,25.14,3994.8,4008.4
600.0,E0_3000m,E0,3000,0.89,0.99,22.43,25.15,3983.6,4005.2
600.0,E0_3100m,E0,3100,0.89,0.99,22.27,25.14,3972.0,4000.4
600.0,E0_3200m,E0,3200,0.89,0.99,22.36,25.12,3967.2,4000.0
600.0,E0_3300m,E0,3300,0.89,0.99,22.37,25.11,3961.2,4001.6
600.0,E0_3400m,E0,3400,0.89,0.99,22.37,25.09,3944.8,3997.2
600.0,E0_3500m,E0,3500,0.89,0.99,22.36,25.08,3932.4,3984.8
600.0,E0_3600m,E0,3600,0.89,0.99,22.34,25.07,3924.8,3980.0
600.0,E0_3700m,E0,3700,0.89,0.98,22.33,25.06,3913.6,3978.4
600.0,E0_3800m,E0,3800,0.89,0.98,22.34,25.04,3912.4,3981.2
600.0,E0_3900m,E0,3900,0.9,0.98,22.5,25.03,3906.4,3975.6
600.0,E0_4000m,E0,4000,0.95,0.98,23.86,25.02,3910.0,3973.2
600.0,E0_4100m,E0,4100,1.06,0.98,26.42,25.02,3911.2,3975.2
600.0,E0_4200m,E0,4200,1.06,0.98,26.58,25.01,3918.8,3982.0
600.0,E0_4300m,E0,4300,1.06,0.98,26.5,25.02,3922.0,3990.8
600.0,E0_4400m,E0,4400,1.05,0.98,26.4,25.03,3926.0,3990.4
600.0,E0_4500m,E0,4500,1.05,0.99,26.32,25.04,3932.8,3992.4
600.0,E0_4600m,E0,4600,1.05,0.99,26.23,25.05,3940.8,3996.8
600.0,E0_4700m,E0,4700,1.04,0.99,26.14,25.07,3953.6,4003.6
600.0,E0_4800m,E0,4800,1.04,0.99,26.08,25.1,3961.6,4010.0
600.0,E0_4900m,E0,4900,1.04,0.99,26.03,25.14,3968.0,4010.4
600.0,E0_5000m,E0,5000,1.03,0.99,25.98,25.19,3974.8,4016.0
900.0,E0_0m,E0,0,-1.0,1.0,-1.0,-1.0,0.0,0.0
900.0,E0_100m,E0,100,0.99,1.0,26.62,26.77,3964.0,3964.4
900.0,E0_200m,E0,200,1.0,1.0,26.85,26.9,3971.6,3974.0
900.0,E0_300m,E0,300,1.0,1.0,26.82,26.82,3976.4,3977.2
900.0,E0_400m,E0,400,1.0,1.0,26.73,26.7,3982.8,3981.2
900.0,E0_500m,E0,500,1.0,1.0,26.6,26.55,3982.0,3980.8
900.0,E0_600m,E0,600,1.0,1.0,26.45,26.42,3978.8,3980.8
900.0,E0_700m,E0,700,1.0,1.0,26.32,26.29,3977.6,3976.8
900.0,E0_800m,E0,800,1.0,1.0,26.2,26.15,3979.2,3977.6
900.0,E0_900m,E0,900,1.0,1.0,26.09,26.04,3981.6,3976.8
900.0,E0_1000m,E0,1000,1.0,1.0,25.99,25.95,3983.6,3980.0
900.0,E0_1100m,E0,1100,1.0,1.0,25.91,25.85,3986.4,3984.8
900.0,E0_1200m,E0,1200,1.0,1.0,25.82,25.75,3985.2,3984.4
900.0,E0_1300m,E0,1300,1.0,1.0,25.74,25.66,3986.0,3985.6
900.0,E0_1400m,E0,1400,1.0,1.0,25.64,25.57,3982.0,3984.4
900.0,E0_1500m,E0,1500,1.0,1.0,25.56,25.48,3986.4,3985.2
900.0,E0_1600m,E0,1600,1.0,1.0,25.5,25.43,3985.2,3984.0
900.0,E0_1700m,E0,1700,1.0,1.0,25.44,25.35,3986.4,3984.4
900.0,E0_1800m,E0,1800,1.0,1.0,25.39,25.29,3989.2,3984.0
900.0,E0_1900m,E0,1900,1.0,1.0,25.34,25.24,3984.8,3979.6
900.0,E0_2000m,E0,2000,1.0,1.0,25.29,25.18,3983.2,3976.4
900.0,E0_2100m,E0,2100,1.0,1.0,25.25,25.13,3979.6,3974.4
900.0,E0_2200m,E0,2200,1.01,1.0,25.2,25.08,3978.0,3977.2
900.0,E0_2300m,E0,2300,1.0,1.0,25.15,25.02,3974.4,3970.4
900.0,E0_2400m,E0,2400,1.0,1.0,25.06,24.98,3971.2,3962.8
900.0,E0_2500m,E0,2500,1.0,1.0,24.95,24.93,3975.2,3965.6
900.0,E0_2600m,E0,2600,1.0,1.0,24.8,24.9,3977.6,3966.0
900.0,E0_2700m,E0,2700,0.99,1.0,24.56,24.89,3976.4,3965.6
900.0,E0_2800m,E0,2800,0.97,1.0,24.14,24.88,3974.8,3960.0
900.0,E0_2900m,E0,2900,0.95,1.0,23.47,24.84,3972.8,3959.6
900.0,E0_3000m,E0,3000,0.9,1.0,22.43,24.79,3973.6,3957.6
900.0,E0_3100m,E0,3100,0.9,1.0,22.28,24.74,3974.0,3959.6
900.0,E0_3200m,E0,3200,0.9,1.0,22.37,24.72,3972.8,3958.8
900.0,E0_3300m,E0,3300,0.91,1.0,22.39,24.69,3974.4,3958.0
900.0,E0_3400m,E0,3400,0.91,1.01,22.38,24.67,3986.0,3958.0
900.0,E0_3500m,E0,3500,0.91,1.01,22.36,24.66,3987.2,3966.8
900.0,E0_3600m,E0,3600,0.91,1.0,22.35,24.65,3990.0,3976.4
900.0,E0_3700m,E0,3700,0.91,1.01,22.34,24.64,4007.6,3978.4
900.0,E0_3800m,E0,3800,0.91,1.01,22.34,24.62,4016.8,3989.2
900.0,E0_3900m,E0,3900,0.91,1.01,22.47,24.59,4030.8,4005.2
900.0,E0_4000m,E0,4000,0.96,1.0,23.69,24.58,4032.4,4017.6
900.0,E0_4100m,E0,4100,1.05,1.0,25.89,24.58,4034.8,4025.6
900.0,E0_4200m,E0,4200,1.06,1.0,26.05,24.58,4037.6,4030.0
900.0,E0_4300m,E0,4300,1.06,1.0,26.01,24.59,4043.2,4028.0
900.0,E0_4400m,E0,4400,1.06,1.0,25.96,24.6,4041.2,4028.4
900.0,E0_4500m,E0,4500,1.05,1.0,25.9,24.63,4040.8,4024.0
900.0,E0_4600m,E0,4600,1.05,1.0,25.83,24.66,4037.2,4019.6
900.0,E0_4700m,E0,4700,1.04,1.0,25.77,24.69,4035.2,4021.2
