scenario,interval_begin,interval_id,interval_flow,interval_harmonicMeanSpeed
attack,600.0,E0_1_1300m,2230.4,26.567666666666664
attack,600.0,E0_1_1400m,2238.0,26.49633333333333
attack,600.0,E0_1_1500m,2235.2,26.40233333333333
attack,600.0,E0_1_1600m,2230.8,26.329
attack,600.0,E0_1_1700m,2232.8,26.250333333333334
attack,600.0,E0_1_1800m,2230.0,26.176666666666673
attack,600.0,E0_1_1900m,2239.2,26.12633333333333
attack,600.0,E0_1_2000m,2242.4,26.080666666666662
attack,600.0,E0_1_200m,2192.0,27.685333333333336
attack,600.0,E0_1_2100m,2243.6,26.028666666666663
attack,600.0,E0_1_2200m,2245.6,25.976
attack,600.0,E0_1_2300m,2240.4,25.908666666666665
attack,600.0,E0_1_2400m,2232.4,25.807666666666666
attack,600.0,E0_1_2500m,2226.4,25.662
attack,600.0,E0_1_2600m,2219.6,25.449333333333335
attack,600.0,E0_1_2700m,2222.0,25.154666666666667
attack,600.0,E0_1_2800m,2208.4,24.715333333333326
attack,600.0,E0_1_2900m,2201.6,24.037
attack,600.0,E0_1_3000m,2200.8,22.956
attack,600.0,E0_1_300m,2201.6,27.613999999999997
attack,600.0,E0_1_3100m,2162.8,22.759
attack,600.0,E0_1_3200m,2110.4,22.779999999999994
attack,600.0,E0_1_3300m,2104.0,22.735666666666663
attack,600.0,E0_1_3400m,2094.0,22.70366666666667
attack,600.0,E0_1_3500m,2085.6,22.66366666666666
attack,600.0,E0_1_3600m,2080.0,22.641666666666666
attack,600.0,E0_1_3700m,2074.0,22.616666666666667
attack,600.0,E0_1_3800m,2070.8,22.618000000000002
attack,600.0,E0_1_3900m,2069.6,22.851
attack,600.0,E0_1_4000m,2071.6,24.452666666666673
attack,600.0,E0_1_400m,2212.4,27.508333333333333
attack,600.0,E0_1_4100m,2108.0,27.16266666666667
attack,600.0,E0_1_4200m,2108.4,27.475333333333328
attack,600.0,E0_1_4300m,2106.8,27.46
attack,600.0,E0_1_4400m,2110.4,27.407333333333334
attack,600.0,E0_1_4500m,2112.0,27.36133333333333
attack,600.0,E0_1_4600m,2125.2,27.301000000000002
attack,600.0,E0_1_4700m,2132.0,27.243333333333332
attack,600.0,E0_1_4800m,2135.6,27.19333333333333
attack,600.0,E0_1_4900m,2146.8,27.13266666666667
attack,600.0,E0_1_5000m,2154.0,27.10666666666667
attack,600.0,E0_1_500m,2214.8,27.383333333333336
attack,600.0,E0_1_600m,2224.4,27.264333333333333
attack,600.0,E0_1_700m,2220.8,27.152333333333335
attack,600.0,E0_1_800m,2229.6,27.022000000000002
attack,600.0,E0_1_900m,2228.0,26.921333333333333
attack,900.0,E0_0_0m,0.0,-1.0
attack,900.0,E0_0_1000m,1785.6,25.116999999999997
attack,900.0,E0_0_100m,1777.6,25.884000000000004
attack,900.0,E0_0_1100m,1783.2,25.037
attack,900.0,E0_0_1200m,1782.0,24.95533333333333
attack,900.0,E0_0_1300m,1783.6,24.88366666666667
attack,900.0,E0_0_1400m,1781.2,24.785666666666668
attack,900.0,E0_0_1500m,1782.4,24.696666666666665
attack,900.0,E0_0_1600m,1781.6,24.642000000000003
attack,900.0,E0_0_1700m,1782.0,24.580333333333332
attack,900.0,E0_0_1800m,1782.8,24.525
attack,900.0,E0_0_1900m,1784.4,24.486
attack,900.0,E0_0_2000m,1788.0,24.432333333333336
attack,900.0,E0_0_200m,1803.2,25.955666666666666
attack,900.0,E0_0_2100m,1785.2,24.413000000000004
attack,900.0,E0_0_2200m,1782.8,24.363333333333333
attack,900.0,E0_0_2300m,1784.0,24.305999999999997
attack,900.0,E0_0_2400m,1782.4,24.228999999999996
attack,900.0,E0_0_2500m,1784.8,24.129666666666665
attack,900.0,E0_0_2600m,1786.8,24.006000000000007
attack,900.0,E0_0_2700m,1786.0,23.808
attack,900.0,E0_0_2800m,1784.4,23.463000000000008
attack,900.0,E0_0_2900m,1782.8,22.874
attack,900.0,E0_0_3000m,1777.6,21.873333333333335
attack,900.0,E0_0_300m,1804.0,25.929666666666666
attack,900.0,E0_0_3100m,1809.2,21.759666666666668
attack,900.0,E0_0_3200m,1850.8,21.918666666666674
attack,900.0,E0_0_3300m,1851.2,22.007999999999996
attack,900.0,E0_0_3400m,1864.4,22.033
attack,900.0,E0_0_3500m,1868.4,22.044666666666668
attack,900.0,E0_0_3600m,1873.6,22.061000000000003
attack,900.0,E0_0_3700m,1881.6,22.081000000000003
attack,900.0,E0_0_3800m,1887.2,22.079666666666665
attack,900.0,E0_0_3900m,1896.4,22.137
attack,900.0,E0_0_4000m,1909.6,23.146333333333335
attack,900.0,E0_0_400m,1800.8,25.826999999999998
attack,900.0,E0_0_4100m,1878.8,25.19033333333334
attack,900.0,E0_0_4200m,1873.2,25.265666666666668
attack,900.0,E0_0_4300m,1880.8,25.203000000000007
attack,900.0,E0_0_4400m,1883.2,25.140333333333334
attack,900.0,E0_0_4500m,1879.6,25.039
attack,900.0,E0_0_4600m,1878.0,24.939666666666668
attack,900.0,E0_0_4700m,1875.6,24.853333333333335
attack,900.0,E0_0_4800m,1872.4,24.775333333333332
attack,900.0,E0_0_4900m,1866.0,24.723333333333333
attack,900.0,E0_0_5000m,1860.8,24.694333333333336
attack,900.0,E0_0_500m,1802.0,25.687000000000005
attack,900.0,E0_0_600m,1798.4,25.52666666666666
attack,900.0,E0_0_700m,1794.0,25.39866666666666
attack,900.0,E0_0_800m,1787.6,25.298999999999996
attack,900.0,E0_0_900m,1783.2,25.196666666666665
attack,900.0,E0_1_0m,0.0,-1.0
attack,900.0,E0_1_1000m,2198.0,26.865666666666666
